	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0345872"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
"FBtr0075230"	14.15	14.70	11.21	18.70	17.26	17.93	18.26	20.67	18.84	22.27	20.37	15.51	18.55	21.26	18.27
"FBtr0075229"	47.90	50.98	51.57	49.10	47.73	48.66	3.80	2.38	5.15	43.80	42.20	46.63	51.13	58.49	50.83
"FBtr0078316"	0.81	0.00	0.00	1.61	0.36	0.00	0.00	1.26	0.42	1.44	0.62	0.35	1.63	0.00	0.00
"FBtr0078317"	39.17	39.72	33.39	49.53	45.18	49.02	54.14	61.95	51.32	50.52	53.96	55.16	56.34	50.74	54.86
"FBtr0078311"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00
"FBtr0078312"	3.92	5.41	3.67	10.68	9.84	11.37	0.23	0.00	0.00	4.41	3.49	3.03	4.24	6.20	4.64
"FBtr0078313"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.17	0.00	0.00	0.00
"FBtr0078314"	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46
"FBtr0078315"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.28	0.00	0.00	1.41	0.00	0.00	0.00
"FBtr0076678"	0.00	0.27	0.00	0.45	0.00	0.48	0.00	0.00	0.00	0.00	0.21	0.00	0.47	0.00	0.69
"FBtr0344802"	2.36	1.54	2.08	1.80	1.50	1.50	1.68	2.08	1.82	2.59	2.14	2.33	1.77	2.58	2.16
"FBtr0305307"	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0113448"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0310460"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0302886"	0.59	0.34	1.44	2.42	0.95	0.00	0.00	0.00	0.45	0.00	0.42	0.00	0.00	0.00	0.00
"FBtr0302887"	1.45	0.76	0.00	0.60	3.01	4.35	0.89	0.53	0.11	1.41	1.24	1.00	0.97	1.05	0.22
"FBtr0070844"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070845"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0342971"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0342972"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070174"	0.02	0.95	0.00	0.26	0.33	0.41	0.79	0.67	0.87	0.41	1.53	0.79	0.19	0.85	0.76
"FBtr0346795"	0.29	0.00	0.49	0.18	0.16	0.17	1.03	0.69	0.90	1.22	0.48	0.84	0.19	0.00	0.12
"FBtr0344893"	1.13	3.07	3.68	1.03	1.37	0.89	2.64	1.40	1.81	0.96	0.62	0.71	1.04	0.99	2.07
"FBtr0344894"	0.00	0.16	0.71	0.00	0.00	0.07	0.50	0.00	0.70	0.00	0.10	0.10	0.00	0.39	0.89
"FBtr0084140"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084141"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
"FBtr0084142"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084143"	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.03	0.03	0.00	0.00	0.00	0.00
"FBtr0084144"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084146"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084287"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083966"	19.53	30.90	35.21	32.21	34.57	29.54	38.18	31.65	30.64	23.48	17.18	27.32	20.20	19.22	28.83
"FBtr0334724"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0334725"	60.27	64.17	73.49	67.16	68.83	65.18	80.37	67.55	80.47	52.53	47.89	47.83	48.02	49.79	68.67
"FBtr0084774"	14.72	24.51	27.11	11.50	11.28	14.16	39.60	28.66	33.37	18.33	12.51	15.60	18.70	15.26	39.27
"FBtr0100204"	28.31	36.52	40.72	27.32	32.62	23.84	59.04	44.63	50.48	17.21	15.73	14.26	9.87	10.44	23.05
"FBtr0114464"	0.00	0.00	0.78	0.00	5.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301975"	19.89	18.23	18.32	9.81	10.98	10.46	28.43	24.38	27.88	11.80	14.58	11.61	19.53	19.11	25.46
