	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0063375"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063376"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063377"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063378"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063379"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063380"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063381"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063382"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063383"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063384"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063386"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063387"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063388"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063389"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063391"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063392"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0063449"	10.15	10.89	7.16	13.84	13.30	15.93	41.16	50.75	58.60	39.79	36.84	34.92
"FBgn0063485"	57.45	45.85	46.11	40.31	33.14	41.51	9.23	6.33	6.30	12.88	10.02	9.07
"FBgn0063491"	13.07	11.94	18.54	4.21	4.93	4.93	11.63	18.94	20.10	5.86	11.36	11.30
"FBgn0063492"	17.82	22.86	17.56	20.77	19.73	21.01	22.58	20.09	16.35	16.57	12.79	12.45
"FBgn0063493"	17.71	18.23	18.04	17.38	14.91	17.47	24.97	25.96	22.91	19.93	21.06	28.49
"FBgn0063494"	169.36	192.38	166.62	115.48	118.39	125.91	4.70	11.09	7.80	25.13	40.17	22.58
"FBgn0063495"	0.37	0.38	0.15	0.64	0.52	0.39	0.13	0.47	0.22	0.62	0.85	1.94
"FBgn0063496"	0.52	0.11	0.37	0.00	0.11	0.00	0.56	0.30	0.28	0.00	0.00	0.00
"FBgn0063497"	4.30	5.16	11.16	1.23	1.87	3.86	6.49	11.80	6.57	11.22	50.55	18.24
"FBgn0063498"	0.10	0.10	0.68	0.12	0.00	0.50	0.31	0.18	0.26	0.67	1.32	1.06
"FBgn0063499"	42.98	48.51	52.55	0.64	1.51	0.80	45.04	39.39	29.01	1.38	0.97	1.09
"FBgn0063649"	0.35	0.14	0.69	0.42	0.09	0.37	0.38	0.59	0.37	0.36	2.72	1.74
"FBgn0063667"	0.38	0.69	1.60	0.96	0.55	1.01	1.95	1.28	0.86	2.25	3.38	1.17
"FBgn0063670"	236.13	326.39	335.40	187.84	256.70	233.03	334.59	318.40	289.39	283.68	297.47	260.91
"FBgn0063923"	2.20	3.89	4.74	1.42	1.14	0.98	2.40	3.73	3.48	2.17	2.12	0.67
"FBgn0063924"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54
"FBgn0064115"	4.18	5.20	4.92	5.13	5.14	5.79	1.78	2.74	3.09	3.04	3.40	3.46
"FBgn0064116"	52.59	51.70	50.82	50.20	50.59	50.43	31.33	24.57	21.32	37.07	31.00	31.66
"FBgn0064117"	52.59	51.70	50.82	50.20	50.59	50.43	31.33	24.57	21.32	37.07	31.00	31.66
"FBgn0064119"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
"FBgn0064123"	0.02	0.02	0.01	0.25	0.22	0.18	0.04	0.02	0.04	0.17	0.20	0.28
"FBgn0064126"	101.14	105.63	93.18	86.61	80.25	80.39	21.65	16.75	13.31	29.37	25.98	20.75
"FBgn0064225"	3375.71	3793.14	3869.85	3744.73	3800.10	3836.22	4780.76	5033.94	4672.58	4741.53	4945.44	4944.73
"FBgn0064227"	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00
