	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0305255"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305256"	720.13	951.69	744.55	815.33	862.47	787.74	126.49	105.01	84.54	653.16	508.28	729.21	599.51	730.14	1098.81
"FBtr0329949"	0.00	0.00	4.89	4.58	0.00	2.30	0.00	0.00	0.00	0.01	0.00	8.95	4.77	4.87	8.72
"FBtr0329950"	854.84	1379.31	1457.56	1297.08	1363.80	1087.10	141.09	65.99	169.46	722.15	765.72	867.84	936.71	1115.99	1159.67
"FBtr0340223"	9.03	0.00	0.01	0.00	17.73	10.85	4.42	0.00	0.00	17.68	0.00	0.00	0.00	0.00	0.00
"FBtr0081210"	438.03	520.26	612.53	436.03	522.08	378.31	982.29	660.79	914.30	493.25	305.60	486.93	499.83	331.87	909.43
"FBtr0081211"	0.00	4.49	8.97	0.00	0.00	0.00	13.09	0.00	12.77	0.00	0.00	12.64	4.45	4.64	4.49
"FBtr0081212"	79.94	112.93	72.36	0.00	198.48	421.36	81.06	82.77	0.00	109.76	281.22	164.17	15.85	1.57	0.00
"FBtr0081213"	375.50	583.04	690.64	1063.27	925.17	659.93	719.65	669.58	749.90	366.01	354.18	344.20	337.84	341.82	630.50
"FBtr0081214"	3.41	3.69	1.80	7.08	5.17	3.60	6.93	1.85	8.61	0.00	2.00	0.00	3.98	3.67	1.89
"FBtr0100449"	0.00	0.00	0.00	7.17	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306598"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0334166"	18.92	0.00	0.00	14.98	16.36	13.66	0.00	0.00	13.50	0.00	0.00	10.62	14.80	0.00	16.45
"FBtr0334167"	29.20	37.59	55.69	101.48	133.73	84.15	99.98	64.59	63.92	73.99	0.00	25.45	97.25	16.43	76.24
"FBtr0086126"	1199.00	1382.00	1239.00	1704.00	1791.00	1614.00	44.00	45.00	68.00	1134.00	1063.00	1198.00	1233.00	1579.00	1937.00
"FBtr0086107"	1952.00	3570.00	4583.00	2041.00	2506.00	1561.00	3963.00	2367.00	3743.00	1644.00	1479.00	1748.00	1836.00	1965.00	4453.00
"FBtr0086177"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
