	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0038691"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.07	0.00
"FBgn0038692"	37.32	40.66	37.35	51.55	48.23	50.90	0.91	1.57	1.48	27.54	26.30	28.48	32.90	46.49	37.47
"FBgn0038693"	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038694"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038695"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038697"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038700"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
"FBgn0038701"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
"FBgn0038702"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.09	0.00
"FBgn0038704"	30.36	37.44	38.91	34.37	36.75	33.54	52.15	38.75	48.72	25.58	22.89	27.85	24.34	27.35	41.40
"FBgn0038705"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038706"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00
"FBgn0038708"	0.21	0.00	0.00	0.00	0.11	0.00	0.00	0.07	0.00	0.00	0.24	0.00	0.06	0.00	0.00
"FBgn0038709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038714"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038715"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038716"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038717"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038718"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBgn0038719"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038720"	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
"FBgn0038721"	19.68	26.07	31.69	18.16	21.92	17.35	17.85	10.71	14.72	14.87	12.72	14.54	11.93	9.88	19.96
"FBgn0038722"	50.89	61.32	61.38	82.49	84.19	79.71	45.20	34.02	45.04	49.74	48.08	51.87	60.69	65.29	71.83
"FBgn0038723"	69.03	64.80	66.10	81.23	73.69	85.08	13.68	10.15	10.59	56.51	66.26	64.79	68.05	80.70	73.44
"FBgn0038725"	0.02	0.04	0.02	0.00	0.03	0.04	0.00	0.02	0.02	0.02	0.00	0.04	0.02	0.06	0.03
"FBgn0038727"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038730"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038731"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038732"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038733"	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038734"	0.04	0.00	0.67	0.00	0.03	0.04	0.00	0.00	0.00	0.04	0.07	0.00	0.00	0.00	0.00
"FBgn0038735"	18.05	19.85	22.20	28.54	27.89	27.36	35.39	29.70	31.99	22.76	19.80	21.72	19.48	13.10	25.69
"FBgn0038737"	43.60	44.34	50.60	46.42	46.29	46.80	17.98	14.55	14.00	49.01	50.45	47.52	43.59	46.17	43.30
"FBgn0038738"	167.95	167.43	177.18	187.62	195.23	176.58	195.39	158.81	180.77	155.43	145.13	173.67	160.07	141.60	193.17
"FBgn0038739"	215.56	196.99	191.92	188.57	187.97	201.05	175.33	188.80	181.27	263.65	291.71	278.76	328.08	325.68	231.34
"FBgn0038740"	9.11	12.19	13.90	7.07	8.18	7.18	2.18	1.38	2.43	10.06	10.14	13.61	17.27	18.35	27.35
"FBgn0038741"	52.21	57.66	50.74	58.60	57.66	56.33	7.30	4.48	6.22	40.99	38.13	49.52	47.45	54.24	55.00
"FBgn0038742"	110.06	118.70	111.54	119.22	108.81	122.12	24.95	22.24	27.22	88.39	101.33	102.50	98.31	116.07	108.42
