	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0084882"	62.72	56.10	54.38	42.83	52.67	49.54	32.17	34.22	32.85	35.57	35.89	38.85
"FBtr0305218"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305219"	0.67	0.00	0.28	0.46	0.60	2.74	0.00	0.00	0.00	0.29	0.10	0.00
"FBtr0333663"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0333664"	0.26	0.27	0.39	0.18	0.54	0.72	2.22	2.40	2.72	1.63	2.35	2.65
"FBtr0333665"	0.01	0.00	0.00	21.92	1.68	10.42	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084914"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084915"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339163"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089521"	14.52	14.97	15.93	16.33	17.71	17.17	2.34	3.60	2.93	5.87	6.32	4.48
"FBtr0301477"	0.06	0.12	0.21	0.15	0.23	0.32	0.21	0.14	0.23	0.21	0.21	0.32
"FBtr0301478"	37.60	38.30	32.15	39.65	30.03	40.01	3.82	1.24	2.79	10.77	8.07	7.88
"FBtr0306350"	0.15	0.46	0.37	0.00	0.00	0.16	0.13	0.83	0.95	0.14	0.45	0.90
"FBtr0306351"	3.73	2.24	2.23	2.08	0.79	2.81	0.97	0.87	0.60	0.42	0.53	0.10
"FBtr0330046"	14.52	14.97	15.93	16.33	17.71	17.17	2.34	3.60	2.93	5.87	6.32	4.48
"FBtr0071562"	4.18	4.34	4.15	8.29	5.56	8.71	1.53	1.93	2.15	4.14	3.68	4.41
"FBtr0080188"	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00
